epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,159.526,0.60401,0.87046,0.7343,0.97388,0,0.80681,0.83502,0.8154,0.67122,0.77807,0.80241,0.76387,0.51441,0.63502,2.03991,1.42619,0.98836,0,0.000664694,0.000664694,0.06743
2,313.298,0.61996,0.81393,0.57891,0.9753,0,0.76652,0.73587,0.77067,0.63599,0.76606,0.73216,0.76709,0.5762,0.68002,2.25623,1.46712,1.01644,0,0.00131672,0.00131672,0.0347487
3,462.853,0.5743,0.72417,0.52645,0.95843,0,0.90517,0.88284,0.92789,0.8267,0.90817,0.88965,0.93533,0.81599,0.45805,0.5086,0.47702,0.8872,0,0.00195407,0.00195407,0.00205269
4,610.348,0.51052,0.61993,0.46692,0.92919,0,0.90571,0.81822,0.88069,0.78737,0.91008,0.8228,0.88742,0.76641,0.45713,0.60383,0.60447,0.89153,0,0.001934,0.001934,0.001934
5,756.92,0.47618,0.57474,0.44366,0.91695,0,0.92624,0.91991,0.94309,0.86534,0.93051,0.92435,0.94764,0.84894,0.3863,0.42963,0.39494,0.85906,0,0.001912,0.001912,0.001912
6,903.738,0.45915,0.54963,0.43117,0.90924,0,0.92984,0.92988,0.94801,0.87505,0.93363,0.9341,0.95264,0.85017,0.38042,0.38978,0.37397,0.85214,0,0.00189,0.00189,0.00189
7,1050.81,0.4392,0.52803,0.41693,0.90104,0,0.91198,0.9026,0.93953,0.86415,0.91592,0.90631,0.94279,0.83812,0.37906,0.44335,0.41322,0.85446,0,0.001868,0.001868,0.001868
8,1197.23,0.43484,0.51683,0.40882,0.89686,0,0.88768,0.82566,0.9047,0.81315,0.88946,0.83451,0.91054,0.78401,0.42744,0.61276,0.50259,0.87122,0,0.001846,0.001846,0.001846
9,1343.73,0.42236,0.49912,0.39964,0.89297,0,0.92375,0.90284,0.94283,0.86993,0.926,0.90976,0.94746,0.84294,0.37035,0.47484,0.39028,0.84747,0,0.001824,0.001824,0.001824
10,1490.33,0.40813,0.48408,0.38932,0.88764,0,0.92996,0.93243,0.95034,0.88657,0.93517,0.93761,0.95319,0.86088,0.33748,0.36569,0.34731,0.83564,0,0.001802,0.001802,0.001802
